,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,horsepower-binned,diesel,gas,aspiration-std,aspiration-turbo
0,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,8.703703703703704,13495.0,Medium,0,1,1,0
1,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.4134328358208958,0.32478632478632447,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,11.19047619047619,8.703703703703704,16500.0,Medium,0,1,1,0
2,1,122,alfa-romero,two,hatchback,rwd,front,94.5,0.4492537313432835,0.4444444444444446,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,12.368421052631579,9.038461538461538,16500.0,Medium,0,1,1,0
3,2,164,audi,four,sedan,fwd,front,99.8,0.5298507462686567,0.5042735042735046,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,9.791666666666666,7.833333333333333,13950.0,Medium,0,1,1,0
4,2,164,audi,four,sedan,4wd,front,99.4,0.5298507462686567,0.521367521367522,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,13.055555555555555,10.681818181818182,17450.0,Medium,0,1,1,0
5,2,122,audi,two,sedan,fwd,front,99.8,0.5402985074626868,0.5128205128205127,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,9.4,15250.0,Medium,0,1,1,0
6,1,158,audi,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,9.4,17710.0,Medium,0,1,1,0
7,1,122,audi,four,wagon,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,12.368421052631579,9.4,18920.0,Medium,0,1,1,0
8,1,158,audi,four,sedan,fwd,front,105.8,0.7701492537313432,0.9487179487179492,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,13.823529411764707,11.75,23875.0,Medium,0,1,0,1
9,2,192,bmw,two,sedan,rwd,front,101.2,0.5328358208955226,0.3846153846153845,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,10.217391304347826,8.10344827586207,16430.0,Low,0,1,1,0
