,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,North York,Parkwoods,43.7532586,-79.3296565,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
1,North York,Parkwoods,43.7532586,-79.3296565,KFC,43.75438666345904,-79.3330206627504,Fast Food Restaurant
2,North York,Parkwoods,43.7532586,-79.3296565,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
9,North York,Victoria Village,43.725882299999995,-79.31557159999998,Victoria Village Arena,43.72348055545508,-79.31563520925143,Hockey Arena
10,North York,Victoria Village,43.725882299999995,-79.31557159999998,Tim Hortons,43.725516631714754,-79.31310251366091,Coffee Shop
11,North York,Victoria Village,43.725882299999995,-79.31557159999998,Portugril,43.72581876267242,-79.31278541470671,Portuguese Restaurant
12,North York,Victoria Village,43.725882299999995,-79.31557159999998,Pizza Nova,43.725823726352196,-79.31286041792907,Pizza Place
25,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
26,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
27,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
28,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Morning Glory Cafe,43.653946942635294,-79.36114884214422,Breakfast Spot
29,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Cooper Koo YMCA,43.65319052672638,-79.35794700053884,Gym / Fitness Center
30,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
31,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
32,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
33,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Corktown Common,43.655617799749734,-79.3562113397429,Park
34,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,The Distillery Historic District,43.65024435658077,-79.35932278633118,Historic Site
35,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,SOMA chocolatemaker,43.65062222570758,-79.35812684032683,Chocolate Shop
36,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Distillery Sunday Market,43.650074989330655,-79.36183171318665,Farmers Market
37,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Cacao 70,43.650066694561666,-79.36072263183006,Dessert Shop
38,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Cocina Economica,43.65495889022676,-79.3656572507398,Mexican Restaurant
39,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
40,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Brick Street Bakery,43.650574039683974,-79.35953942981405,Bakery
41,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
42,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Arvo,43.64996280366945,-79.36144178325522,Coffee Shop
43,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,El Catrin,43.650600737116996,-79.35892024942333,Mexican Restaurant
44,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Young Centre for the Performing Arts,43.65082466432163,-79.35759324240415,Performing Arts Venue
45,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Underpass Park,43.65576361726024,-79.3548059463501,Park
46,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Souvlaki Express,43.65558391537734,-79.36443816909016,Greek Restaurant
47,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
48,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Starbucks,43.65132698417445,-79.36432857157803,Coffee Shop
49,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,The Yoga Lounge,43.65551522261721,-79.36495542526245,Yoga Studio
50,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Mill St. Brew Pub,43.65035331843578,-79.35848936650571,Pub
51,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Caffe Furbo,43.649969882303814,-79.35884946388191,Café
52,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,The Sweet Escape Patisserie,43.65063217302609,-79.35870913127346,Bakery
53,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Parliament Square Park,43.65026388338689,-79.36219509081177,Park
54,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café
55,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Soulpepper Theatre,43.65078003430492,-79.35761534068922,Theater
56,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Redline Coffee and Espresso,43.655692385073614,-79.36409508615066,Café
